Year,Country,Value,Indicator
2018,EL,-2.2,Current account balance
2019,EL,-2.1,Current account balance
2020,EL,-3.6,Current account balance
2021,EL,-4.9,Current account balance
2022,EL,-7.8,Current account balance
2023,EL,-7.7,Current account balance
2024,EL,-7.6,Current account balance
2015,ES,2.0,Current account balance
2016,ES,2.3,Current account balance
2017,ES,2.7,Current account balance
2018,ES,2.6,Current account balance
2019,ES,2.3,Current account balance
2020,ES,1.6,Current account balance
2021,ES,1.2,Current account balance
2022,ES,0.6,Current account balance
2023,ES,1.3,Current account balance
2024,ES,2.0,Current account balance
2015,FI,-1.4,Current account balance
2016,FI,-1.4,Current account balance
2017,FI,-1.2,Current account balance
2018,FI,-1.4,Current account balance
2019,FI,-0.8,Current account balance
2020,FI,-0.4,Current account balance
2021,FI,0.2,Current account balance
2022,FI,-0.6,Current account balance
2023,FI,-0.9,Current account balance
2024,FI,-0.9,Current account balance
2015,FR,-0.6,Current account balance
2016,FR,-0.6,Current account balance
2017,FR,-0.5,Current account balance
2018,FR,-0.6,Current account balance
2019,FR,-0.2,Current account balance
2020,FR,-0.7,Current account balance
2021,FR,-0.4,Current account balance
2022,FR,-1.0,Current account balance
2023,FR,-0.6,Current account balance
2024,FR,-0.6,Current account balance
2015,HR,0.8,Current account balance
2016,HR,1.9,Current account balance
2017,HR,2.9,Current account balance
2018,HR,2.5,Current account balance
2019,HR,2.6,Current account balance
2020,HR,1.0,Current account balance
2021,HR,0.8,Current account balance
2022,HR,-1.1,Current account balance
2023,HR,-0.6,Current account balance
2024,HR,-1.2,Current account balance
2015,HU,2.0,Current account balance
2016,HU,2.4,Current account balance
2017,HU,2.7,Current account balance
2018,HU,2.1,Current account balance
2019,HU,0.5,Current account balance
2020,HU,-0.4,Current account balance
2021,HU,-1.8,Current account balance
2022,HU,-4.5,Current account balance
2023,HU,-4.1,Current account balance
2024,HU,-2.0,Current account balance
2015,IE,3.5,Current account balance
2016,IE,2.3,Current account balance
2017,IE,2.0,Current account balance
2018,IE,1.4,Current account balance
2019,IE,-5.1,Current account balance
2020,IE,-7.8,Current account balance
2021,IE,-5.2,Current account balance
2022,IE,4.6,Current account balance
2023,IE,9.7,Current account balance
2024,IE,11.3,Current account balance
2015,IT,1.3,Current account balance
2016,IT,1.8,Current account balance
2017,IT,2.0,Current account balance
2018,IT,2.5,Current account balance
2019,IT,2.7,Current account balance
2020,IT,3.1,Current account balance
2021,IT,3.0,Current account balance
2022,IT,1.4,Current account balance
2023,IT,0.2,Current account balance
2024,IT,-0.2,Current account balance
2015,LT,0.9,Current account balance
2016,LT,0.0,Current account balance
2017,LT,-0.8,Current account balance
2018,LT,0.1,Current account balance
2019,LT,1.7,Current account balance
2020,LT,3.8,Current account balance
2021,LT,4.1,Current account balance
2022,LT,0.9,Current account balance
2023,LT,-1.2,Current account balance
2024,LT,-0.8,Current account balance
2015,LU,4.5,Current account balance
2016,LU,5.7,Current account balance
2017,LU,6.5,Current account balance
2018,LU,7.4,Current account balance
2019,LU,7.8,Current account balance
2020,LU,7.3,Current account balance
2021,LU,6.6,Current account balance
2022,LU,6.9,Current account balance
2023,LU,9.1,Current account balance
2024,LU,11.5,Current account balance
2015,LV,-1.5,Current account balance
2016,LV,0.1,Current account balance
2017,LV,1.0,Current account balance
2018,LV,1.0,Current account balance
2019,LV,0.3,Current account balance
2020,LV,0.8,Current account balance
2021,LV,-0.4,Current account balance
2022,LV,-2.2,Current account balance
2023,LV,-4.5,Current account balance
2024,LV,-3.8,Current account balance
2015,MT,2.8,Current account balance
2016,MT,2.5,Current account balance
2017,MT,7.0,Current account balance
2018,MT,10.6,Current account balance
2019,MT,16.7,Current account balance
2020,MT,15.7,Current account balance
2021,MT,14.4,Current account balance
2022,MT,8.2,Current account balance
2023,MT,5.0,Current account balance
2024,MT,3.8,Current account balance
2015,NL,7.4,Current account balance
2016,NL,7.0,Current account balance
2017,NL,6.8,Current account balance
2018,NL,8.1,Current account balance
2019,NL,8.0,Current account balance
2020,NL,7.1,Current account balance
2021,NL,7.5,Current account balance
2022,NL,7.4,Current account balance
2023,NL,8.8,Current account balance
2024,NL,8.8,Current account balance
2015,PL,-2.1,Current account balance
2016,PL,-1.7,Current account balance
2017,PL,-1.2,Current account balance
2018,PL,-1.4,Current account balance
2019,PL,-1.1,Current account balance
2020,PL,0.1,Current account balance
2021,PL,0.3,Current account balance
2022,PL,-0.4,Current account balance
2023,PL,-0.6,Current account balance
2024,PL,-0.1,Current account balance
2015,PT,0.8,Current account balance
2016,PT,0.8,Current account balance
2017,PT,1.1,Current account balance
2018,PT,1.2,Current account balance
2019,PT,1.0,Current account balance
2020,PT,0.3,Current account balance
2021,PT,-0.2,Current account balance
2022,PT,-1.1,Current account balance
2023,PT,-0.7,Current account balance
2024,PT,0.2,Current account balance
2015,RO,-0.7,Current account balance
2016,RO,-1.0,Current account balance
2017,RO,-2.0,Current account balance
2018,RO,-3.3,Current account balance
2019,RO,-4.2,Current account balance
2020,RO,-4.8,Current account balance
2021,RO,-5.7,Current account balance
2022,RO,-7.3,Current account balance
2023,RO,-7.8,Current account balance
2024,RO,-8.2,Current account balance
2015,SE,3.4,Current account balance
2016,SE,2.6,Current account balance
2017,SE,2.2,Current account balance
2018,SE,2.1,Current account balance
2019,SE,3.2,Current account balance
2020,SE,4.5,Current account balance
2021,SE,5.9,Current account balance
2022,SE,5.7,Current account balance
2023,SE,6.1,Current account balance
2024,SE,6.4,Current account balance
2015,SI,4.3,Current account balance
2016,SI,4.9,Current account balance
2017,SI,5.4,Current account balance
2018,SI,6.2,Current account balance
2019,SI,6.6,Current account balance
2020,SI,6.9,Current account balance
2021,SI,6.0,Current account balance
2022,SI,3.4,Current account balance
2023,SI,2.4,Current account balance
2024,SI,2.6,Current account balance
2015,SK,0.9,Current account balance
2016,SK,-0.6,Current account balance
2017,SK,-1.8,Current account balance
2018,SK,-1.6,Current account balance
2019,SK,-2.3,Current account balance
2020,SK,-1.9,Current account balance
2021,SK,-2.9,Current account balance
2022,SK,-5.0,Current account balance
2023,SK,-5.1,Current account balance
2024,SK,-4.4,Current account balance
2015,AT,2.8,Net international investment position
2016,AT,2.9,Net international investment position
2017,AT,3.7,Net international investment position
2018,AT,5.4,Net international investment position
2019,AT,13.3,Net international investment position
2020,AT,11.5,Net international investment position
2021,AT,14.4,Net international investment position
2022,AT,16.1,Net international investment position
2023,AT,16.6,Net international investment position
2024,AT,24.2,Net international investment position
2015,BE,45.4,Net international investment position
2016,BE,54.7,Net international investment position
2017,BE,56.2,Net international investment position
2018,BE,34.4,Net international investment position
2019,BE,47.2,Net international investment position
2020,BE,51.9,Net international investment position
2021,BE,67.7,Net international investment position
2022,BE,57.0,Net international investment position
2023,BE,51.5,Net international investment position
2024,BE,60.1,Net international investment position
2015,BG,-61.5,Net international investment position
2016,BG,-47.5,Net international investment position
2017,BG,-43.6,Net international investment position
2018,BG,-37.6,Net international investment position
2019,BG,-30.8,Net international investment position
2020,BG,-23.4,Net international investment position
2021,BG,-15.6,Net international investment position
2022,BG,-8.7,Net international investment position
2023,BG,-6.3,Net international investment position
2024,BG,-3.7,Net international investment position
2015,CY,-152.8,Net international investment position
2016,CY,-133.4,Net international investment position
2017,CY,-136.6,Net international investment position
2018,CY,-124.9,Net international investment position
2019,CY,-113.2,Net international investment position
2020,CY,-123.8,Net international investment position
2021,CY,-105.7,Net international investment position
2022,CY,-95.1,Net international investment position
2023,CY,-92.7,Net international investment position
2024,CY,-80.6,Net international investment position
2015,CZ,-32.7,Net international investment position
2016,CZ,-26.9,Net international investment position
2017,CZ,-24.7,Net international investment position
2018,CZ,-24.2,Net international investment position
2019,CZ,-19.5,Net international investment position
2020,CZ,-16.0,Net international investment position
2021,CZ,-14.9,Net international investment position
2022,CZ,-20.2,Net international investment position
2023,CZ,-14.5,Net international investment position
2024,CZ,-7.2,Net international investment position
2015,DE,34.1,Net international investment position
2016,DE,38.8,Net international investment position
2017,DE,44.0,Net international investment position
2018,DE,52.5,Net international investment position
2019,DE,58.5,Net international investment position
2020,DE,64.2,Net international investment position
2021,DE,70.3,Net international investment position
2022,DE,70.0,Net international investment position
2023,DE,70.1,Net international investment position
2024,DE,81.3,Net international investment position
2015,DK,27.9,Net international investment position
2016,DK,46.4,Net international investment position
2017,DK,49.5,Net international investment position
2018,DK,58.4,Net international investment position
2019,DK,69.9,Net international investment position
2020,DK,60.0,Net international investment position
2021,DK,65.7,Net international investment position
2022,DK,51.1,Net international investment position
2023,DK,51.3,Net international investment position
2024,DK,78.3,Net international investment position
2015,EE,-39.9,Net international investment position
2016,EE,-39.0,Net international investment position
2017,EE,-32.7,Net international investment position
2018,EE,-29.4,Net international investment position
2019,EE,-22.1,Net international investment position
2020,EE,-19.9,Net international investment position
2021,EE,-15.1,Net international investment position
2022,EE,-21.4,Net international investment position
2023,EE,-21.1,Net international investment position
2024,EE,-9.5,Net international investment position
2015,EL,-136.9,Net international investment position
2016,EL,-139.2,Net international investment position
2017,EL,-143.0,Net international investment position
2018,EL,-147.8,Net international investment position
2019,EL,-152.6,Net international investment position
2020,EL,-171.6,Net international investment position
2021,EL,-170.1,Net international investment position
2022,EL,-143.4,Net international investment position
2023,EL,-139.8,Net international investment position
2024,EL,-131.6,Net international investment position
2015,ES,-87.7,Net international investment position
2016,ES,-84.3,Net international investment position
2017,ES,-84.4,Net international investment position
2018,ES,-78.0,Net international investment position
2019,ES,-72.0,Net international investment position
2020,ES,-83.7,Net international investment position
2021,ES,-69.4,Net international investment position
2022,ES,-57.7,Net international investment position
2023,ES,-51.3,Net international investment position
2024,ES,-44.0,Net international investment position
2015,FI,4.7,Net international investment position
2016,FI,5.4,Net international investment position
2017,FI,1.2,Net international investment position
2018,FI,-5.0,Net international investment position
2019,FI,-0.8,Net international investment position
2020,FI,-3.5,Net international investment position
2021,FI,2.3,Net international investment position
2022,FI,0.1,Net international investment position
2023,FI,12.8,Net international investment position
2024,FI,25.5,Net international investment position
2015,FR,-18.7,Net international investment position
2016,FR,-19.0,Net international investment position
2017,FR,-25.6,Net international investment position
2018,FR,-23.3,Net international investment position
2019,FR,-28.2,Net international investment position
2020,FR,-32.3,Net international investment position
2021,FR,-33.5,Net international investment position
2022,FR,-24.8,Net international investment position
2023,FR,-28.1,Net international investment position
2024,FR,-20.3,Net international investment position
2015,HR,-81.0,Net international investment position
2016,HR,-74.6,Net international investment position
2017,HR,-67.1,Net international investment position
2018,HR,-59.6,Net international investment position
2019,HR,-51.0,Net international investment position
2020,HR,-50.8,Net international investment position
2021,HR,-39.5,Net international investment position
2022,HR,-33.9,Net international investment position
2023,HR,-26.0,Net international investment position
2024,HR,-27.1,Net international investment position
2015,HU,-62.9,Net international investment position
2016,HU,-53.7,Net international investment position
2017,HU,-50.7,Net international investment position
2018,HU,-45.9,Net international investment position
2019,HU,-42.9,Net international investment position
2020,HU,-50.6,Net international investment position
2021,HU,-49.8,Net international investment position
2022,HU,-44.7,Net international investment position
2023,HU,-37.6,Net international investment position
2024,HU,-37.8,Net international investment position
2015,IE,-197.4,Net international investment position
2016,IE,-174.0,Net international investment position
2017,IE,-169.6,Net international investment position
2018,IE,-182.3,Net international investment position
2019,IE,-188.8,Net international investment position
2020,IE,-158.9,Net international investment position
2021,IE,-120.9,Net international investment position
2022,IE,-110.3,Net international investment position
2023,IE,-101.4,Net international investment position
2024,IE,-80.7,Net international investment position
2015,IT,-19.4,Net international investment position
2016,IT,-12.1,Net international investment position
2017,IT,-8.9,Net international investment position
2018,IT,-6.4,Net international investment position
2019,IT,-3.1,Net international investment position
2020,IT,-0.2,Net international investment position
2021,IT,6.3,Net international investment position
2022,IT,4.2,Net international investment position
2023,IT,7.2,Net international investment position
2024,IT,15.3,Net international investment position
2015,LT,-43.9,Net international investment position
2016,LT,-43.1,Net international investment position
2017,LT,-37.6,Net international investment position
2018,LT,-30.1,Net international investment position
2019,LT,-23.5,Net international investment position
2020,LT,-18.2,Net international investment position
2021,LT,-9.9,Net international investment position
2022,LT,-12.0,Net international investment position
2023,LT,-4.6,Net international investment position
2024,LT,0.5,Net international investment position
2015,LU,70.7,Net international investment position
2016,LU,62.7,Net international investment position
2017,LU,70.7,Net international investment position
2018,LU,48.7,Net international investment position
2019,LU,52.0,Net international investment position
2020,LU,62.2,Net international investment position
2021,LU,40.0,Net international investment position
2022,LU,37.8,Net international investment position
2023,LU,36.1,Net international investment position
2024,LU,37.6,Net international investment position
2015,LV,-61.7,Net international investment position
2016,LV,-55.8,Net international investment position
2017,LV,-53.0,Net international investment position
2018,LV,-47.0,Net international investment position
2019,LV,-41.4,Net international investment position
2020,LV,-35.0,Net international investment position
2021,LV,-27.9,Net international investment position
2022,LV,-28.2,Net international investment position
2023,LV,-25.8,Net international investment position
2024,LV,-20.5,Net international investment position
2015,MT,35.3,Net international investment position
2016,MT,46.4,Net international investment position
2017,MT,71.2,Net international investment position
2018,MT,75.5,Net international investment position
2019,MT,101.2,Net international investment position
2020,MT,114.5,Net international investment position
2021,MT,104.7,Net international investment position
2022,MT,99.7,Net international investment position
2023,MT,93.4,Net international investment position
2024,MT,82.1,Net international investment position
2015,NL,27.9,Net international investment position
2016,NL,39.2,Net international investment position
2017,NL,39.3,Net international investment position
2018,NL,50.5,Net international investment position
2019,NL,68.1,Net international investment position
2020,NL,87.9,Net international investment position
2021,NL,70.9,Net international investment position
2022,NL,53.4,Net international investment position
2023,NL,52.9,Net international investment position
2024,NL,59.6,Net international investment position
2015,PL,-60.9,Net international investment position
2016,PL,-60.0,Net international investment position
2017,PL,-60.7,Net international investment position
2018,PL,-55.0,Net international investment position
2019,PL,-49.2,Net international investment position
2020,PL,-44.5,Net international investment position
2021,PL,-40.6,Net international investment position
2022,PL,-34.6,Net international investment position
2023,PL,-31.8,Net international investment position
2024,PL,-29.2,Net international investment position
2015,PT,-119.7,Net international investment position
2016,PT,-111.0,Net international investment position
2017,PT,-110.7,Net international investment position
2018,PT,-106.4,Net international investment position
2019,PT,-99.5,Net international investment position
2020,PT,-103.1,Net international investment position
2021,PT,-93.0,Net international investment position
2022,PT,-82.7,Net international investment position
2023,PT,-72.3,Net international investment position
2024,PT,-58.3,Net international investment position
2015,RO,-54.9,Net international investment position
2016,RO,-51.9,Net international investment position
2017,RO,-49.9,Net international investment position
2018,RO,-45.4,Net international investment position
2019,RO,-44.3,Net international investment position
2020,RO,-48.4,Net international investment position
2021,RO,-47.0,Net international investment position
2022,RO,-42.5,Net international investment position
2023,RO,-41.4,Net international investment position
2024,RO,-42.3,Net international investment position
2015,SE,-5.0,Net international investment position
2016,SE,-1.6,Net international investment position
2017,SE,-0.8,Net international investment position
2018,SE,8.2,Net international investment position
2019,SE,13.9,Net international investment position
2020,SE,7.4,Net international investment position
2021,SE,21.0,Net international investment position
2022,SE,34.8,Net international investment position
2023,SE,38.5,Net international investment position
2024,SE,66.0,Net international investment position
2015,SI,-31.5,Net international investment position
2016,SI,-29.1,Net international investment position
2017,SI,-24.4,Net international investment position
2018,SI,-19.1,Net international investment position
2019,SI,-16.4,Net international investment position
2020,SI,-15.8,Net international investment position
2021,SI,-7.7,Net international investment position
2022,SI,-1.6,Net international investment position
2023,SI,2.3,Net international investment position
2024,SI,8.2,Net international investment position
2015,SK,-63.5,Net international investment position
2016,SK,-66.3,Net international investment position
2017,SK,-67.9,Net international investment position
2018,SK,-69.1,Net international investment position
2019,SK,-65.6,Net international investment position
2020,SK,-64.1,Net international investment position
2021,SK,-59.5,Net international investment position
2022,SK,-63.2,Net international investment position
2023,SK,-54.9,Net international investment position
2024,SK,-51.4,Net international investment position
2015,AT,1.4,Real effective exchange rate
2016,AT,1.0,Real effective exchange rate
2017,AT,0.4,Real effective exchange rate
2018,AT,4.9,Real effective exchange rate
2019,AT,2.1,Real effective exchange rate
2020,AT,3.1,Real effective exchange rate
2021,AT,1.2,Real effective exchange rate
2022,AT,0.1,Real effective exchange rate
2023,AT,1.8,Real effective exchange rate
2024,AT,2.4,Real effective exchange rate
2015,BE,-1.6,Real effective exchange rate
2016,BE,-0.3,Real effective exchange rate
2017,BE,1.0,Real effective exchange rate
2018,BE,7.0,Real effective exchange rate
2019,BE,2.8,Real effective exchange rate
2020,BE,2.4,Real effective exchange rate
2021,BE,0.6,Real effective exchange rate
2022,BE,1.8,Real effective exchange rate
2023,BE,0.0,Real effective exchange rate
2024,BE,1.6,Real effective exchange rate
2015,BG,-4.2,Real effective exchange rate
2016,BG,-4.7,Real effective exchange rate
2017,BG,-3.2,Real effective exchange rate
2018,BG,4.2,Real effective exchange rate
2019,BG,4.7,Real effective exchange rate
2020,BG,6.9,Real effective exchange rate
2021,BG,3.7,Real effective exchange rate
2022,BG,5.8,Real effective exchange rate
2023,BG,8.5,Real effective exchange rate
2024,BG,7.3,Real effective exchange rate
2015,CY,-6.1,Real effective exchange rate
2016,CY,-7.3,Real effective exchange rate
2017,CY,-6.2,Real effective exchange rate
2018,CY,2.1,Real effective exchange rate
2019,CY,-0.3,Real effective exchange rate
2020,CY,-0.4,Real effective exchange rate
2021,CY,-2.4,Real effective exchange rate
2022,CY,-3.0,Real effective exchange rate
2023,CY,0.3,Real effective exchange rate
2024,CY,1.0,Real effective exchange rate
2015,CZ,-8.2,Real effective exchange rate
2016,CZ,-3.7,Real effective exchange rate
2017,CZ,5.5,Real effective exchange rate
2018,CZ,11.1,Real effective exchange rate
2019,CZ,8.7,Real effective exchange rate
2020,CZ,5.5,Real effective exchange rate
2021,CZ,5.0,Real effective exchange rate
2022,CZ,13.7,Real effective exchange rate
2023,CZ,24.3,Real effective exchange rate
2024,CZ,14.4,Real effective exchange rate
2015,DE,-1.4,Real effective exchange rate
2016,DE,-2.0,Real effective exchange rate
2017,DE,-1.7,Real effective exchange rate
2018,DE,5.4,Real effective exchange rate
2019,DE,2.1,Real effective exchange rate
2020,DE,2.4,Real effective exchange rate
2021,DE,0.6,Real effective exchange rate
2022,DE,-0.4,Real effective exchange rate
2023,DE,1.9,Real effective exchange rate
2024,DE,1.6,Real effective exchange rate
2015,DK,-1.6,Real effective exchange rate
2016,DK,-1.6,Real effective exchange rate
2017,DK,-1.9,Real effective exchange rate
2018,DK,2.7,Real effective exchange rate
2019,DK,-0.2,Real effective exchange rate
2020,DK,0.9,Real effective exchange rate
2021,DK,-1.1,Real effective exchange rate
2022,DK,-1.2,Real effective exchange rate
2023,DK,-1.0,Real effective exchange rate
2024,DK,-0.9,Real effective exchange rate
2015,EE,5.9,Real effective exchange rate
2016,EE,4.4,Real effective exchange rate
2017,EE,3.2,Real effective exchange rate
2018,EE,7.7,Real effective exchange rate
2019,EE,5.9,Real effective exchange rate
2020,EE,4.9,Real effective exchange rate
2021,EE,1.9,Real effective exchange rate
2022,EE,8.7,Real effective exchange rate
2023,EE,15.7,Real effective exchange rate
2024,EE,16.0,Real effective exchange rate
2015,EL,-5.6,Real effective exchange rate
2016,EL,-4.0,Real effective exchange rate
2017,EL,-2.8,Real effective exchange rate
2018,EL,3.9,Real effective exchange rate
2019,EL,0.5,Real effective exchange rate
2020,EL,0.3,Real effective exchange rate
2021,EL,-3.2,Real effective exchange rate
2022,EL,-2.4,Real effective exchange rate
2023,EL,-1.2,Real effective exchange rate
2024,EL,0.8,Real effective exchange rate
2015,ES,-3.1,Real effective exchange rate
2016,ES,-4.2,Real effective exchange rate
2017,ES,-2.4,Real effective exchange rate
2018,ES,4.3,Real effective exchange rate
2019,ES,1.8,Real effective exchange rate
2020,ES,1.0,Real effective exchange rate
2021,ES,-0.5,Real effective exchange rate
2022,ES,-0.7,Real effective exchange rate
2023,ES,-0.8,Real effective exchange rate
2024,ES,-0.7,Real effective exchange rate
2015,FI,2.2,Real effective exchange rate
2016,FI,0.5,Real effective exchange rate
2017,FI,-2.3,Real effective exchange rate
2018,FI,3.0,Real effective exchange rate
2019,FI,0.2,Real effective exchange rate
2020,FI,2.3,Real effective exchange rate
2021,FI,-0.7,Real effective exchange rate
2022,FI,-3.1,Real effective exchange rate
2023,FI,-1.8,Real effective exchange rate
2024,FI,-1.9,Real effective exchange rate
2015,FR,-2.7,Real effective exchange rate
2016,FR,-3.0,Real effective exchange rate
2017,FR,-2.8,Real effective exchange rate
2018,FR,4.6,Real effective exchange rate
2019,FR,1.7,Real effective exchange rate
2020,FR,2.6,Real effective exchange rate
2021,FR,-0.5,Real effective exchange rate
2022,FR,-3.7,Real effective exchange rate
2023,FR,-1.8,Real effective exchange rate
2024,FR,-1.1,Real effective exchange rate
2015,HR,0.2,Real effective exchange rate
2016,HR,0.1,Real effective exchange rate
2017,HR,0.2,Real effective exchange rate
2018,HR,4.2,Real effective exchange rate
2019,HR,1.6,Real effective exchange rate
2020,HR,0.5,Real effective exchange rate
2021,HR,-1.5,Real effective exchange rate
2022,HR,-0.6,Real effective exchange rate
2023,HR,4.3,Real effective exchange rate
2024,HR,5.4,Real effective exchange rate
2015,HU,-7.2,Real effective exchange rate
2016,HU,-5.1,Real effective exchange rate
2017,HU,0.2,Real effective exchange rate
2018,HU,2.1,Real effective exchange rate
2019,HU,0.4,Real effective exchange rate
2020,HU,-5.0,Real effective exchange rate
2021,HU,-4.1,Real effective exchange rate
2022,HU,-7.9,Real effective exchange rate
2023,HU,10.3,Real effective exchange rate
2024,HU,7.3,Real effective exchange rate
2015,IE,-6.1,Real effective exchange rate
2016,IE,-6.7,Real effective exchange rate
2017,IE,-5.9,Real effective exchange rate
2018,IE,2.6,Real effective exchange rate
2019,IE,-1.3,Real effective exchange rate
2020,IE,-1.2,Real effective exchange rate
2021,IE,-2.6,Real effective exchange rate
2022,IE,-4.4,Real effective exchange rate
2023,IE,-1.3,Real effective exchange rate
2024,IE,-1.8,Real effective exchange rate
2015,IT,-2.3,Real effective exchange rate
2016,IT,-3.3,Real effective exchange rate
2017,IT,-2.9,Real effective exchange rate
2018,IT,3.5,Real effective exchange rate
2019,IT,0.3,Real effective exchange rate
2020,IT,0.5,Real effective exchange rate
2021,IT,-1.8,Real effective exchange rate
2022,IT,-1.8,Real effective exchange rate
2023,IT,0.7,Real effective exchange rate
2024,IT,0.0,Real effective exchange rate
2015,LT,4.3,Real effective exchange rate
2016,LT,5.4,Real effective exchange rate
2017,LT,2.9,Real effective exchange rate
2018,LT,6.6,Real effective exchange rate
2019,LT,3.8,Real effective exchange rate
2020,LT,6.7,Real effective exchange rate
2021,LT,4.4,Real effective exchange rate
2022,LT,9.8,Real effective exchange rate
2023,LT,13.0,Real effective exchange rate
2024,LT,9.2,Real effective exchange rate
2015,LU,-0.6,Real effective exchange rate
2016,LU,-1.4,Real effective exchange rate
2017,LU,-0.9,Real effective exchange rate
2018,LU,3.4,Real effective exchange rate
2019,LU,2.1,Real effective exchange rate
2020,LU,1.5,Real effective exchange rate
2021,LU,0.7,Real effective exchange rate
2022,LU,-0.5,Real effective exchange rate
2023,LU,-1.5,Real effective exchange rate
2024,LU,-2.4,Real effective exchange rate
2015,LV,2.6,Real effective exchange rate
2016,LV,4.8,Real effective exchange rate
2017,LV,1.9,Real effective exchange rate
2018,LV,5.1,Real effective exchange rate
2019,LV,3.8,Real effective exchange rate
2020,LV,5.9,Real effective exchange rate
2021,LV,2.3,Real effective exchange rate
2022,LV,5.6,Real effective exchange rate
2023,LV,11.0,Real effective exchange rate
2024,LV,9.6,Real effective exchange rate
2015,MT,-2.7,Real effective exchange rate
2016,MT,-2.8,Real effective exchange rate
2017,MT,-2.2,Real effective exchange rate
2018,MT,4.7,Real effective exchange rate
2019,MT,1.7,Real effective exchange rate
2020,MT,1.9,Real effective exchange rate
2021,MT,-1.2,Real effective exchange rate
2022,MT,-3.1,Real effective exchange rate
2023,MT,-0.5,Real effective exchange rate
2024,MT,1.5,Real effective exchange rate
2015,NL,-0.8,Real effective exchange rate
2016,NL,-2.2,Real effective exchange rate
2017,NL,-1.6,Real effective exchange rate
2018,NL,3.3,Real effective exchange rate
2019,NL,2.4,Real effective exchange rate
2020,NL,3.7,Real effective exchange rate
2021,NL,2.3,Real effective exchange rate
2022,NL,3.2,Real effective exchange rate
2023,NL,2.4,Real effective exchange rate
2024,NL,3.3,Real effective exchange rate
2015,PL,-1.4,Real effective exchange rate
2016,PL,-5.0,Real effective exchange rate
2017,PL,-3.4,Real effective exchange rate
2018,PL,0.2,Real effective exchange rate
2019,PL,2.8,Real effective exchange rate
2020,PL,1.0,Real effective exchange rate
2021,PL,-0.4,Real effective exchange rate
2022,PL,-0.1,Real effective exchange rate
2023,PL,9.3,Real effective exchange rate
2024,PL,17.5,Real effective exchange rate
2015,PT,-3.0,Real effective exchange rate
2016,PT,-1.8,Real effective exchange rate
2017,PT,-0.6,Real effective exchange rate
2018,PT,3.3,Real effective exchange rate
2019,PT,-0.2,Real effective exchange rate
2020,PT,-0.1,Real effective exchange rate
2021,PT,-2.8,Real effective exchange rate
2022,PT,-2.8,Real effective exchange rate
2023,PT,-1.4,Real effective exchange rate
2024,PT,0.6,Real effective exchange rate
2015,RO,2.7,Real effective exchange rate
2016,RO,-2.5,Real effective exchange rate
